Typo,Ground_Truth,Transformer_Score,Rank,Edit_Distance
Sue,She,0.041393,3,1
didm't,didn't,N/A,N/A,1
evey,every,0.419012,1,1
evnn,even,0.103373,3,1
Wat,What,0.044161,1,1
drwas,draws,0.001573,65,1
climbd,climbed,0.036517,7,1
thsee,these,0.319758,1,1
cenfturkes,centuries,0.962623,1,2
cn,can,0.225316,2,1
Rjel,Rachel,N/A,N/A,3
uhclaspig,unclasping,N/A,N/A,2
tee,the,0.465764,1,1
cnsieralbe,considerable,0.017600,8,3
o7utside,outside,0.237653,1,1
conventnn,convention,N/A,N/A,2
oee,one,0.004944,10,1
discomfrot,discomfort,0.004785,31,1
vnished,vanished,N/A,N/A,1
imaigne,imagine,0.001212,5,1
ppaced,placed,0.109634,3,1
telehpone,telephone,0.002807,51,1
applcitjon,application,0.075970,2,3
woudd,would,0.053837,5,1
Te,The,0.241457,1,1
subarine,submarine,0.065782,3,1
mcuh,much,0.135217,2,1
nyemros,numerous,0.040846,2,3
imprtont,important,N/A,N/A,2
bgy,by,0.925918,1,1
mmwt,must,0.196737,2,2
soe,some,0.135208,2,1
compzraitvely,comparatively,0.001091,67,2
simple-seeing,simple-seeming,N/A,N/A,1
ssqtement,statement,0.001508,93,2
ooe,one,0.052138,4,1
tee,the,0.001792,65,1
sles,sales,0.088671,3,1
steerng,steering,0.135291,1,1
aater,after,0.202525,3,1
CChtios,Catholics,0.332139,1,5
Jsws,Jews,0.118244,3,1
oer,over,0.105115,2,1
Tee,The,0.586884,1,1
wss,was,0.018524,8,1
bbst,best,0.525320,1,1
ssraglging,straggling,N/A,N/A,2
sqauers,squares,0.035610,7,2
wh,with,0.019695,2,2
rrifnorxde,reinforce,N/A,N/A,4
ssint,saint,N/A,N/A,1
fr,far,0.003567,27,1
OOviously,Obviously,0.000831,64,1
stting,sitting,0.189321,1,1
Hrr,Her,0.585268,1,1
Maren,Madden,N/A,N/A,2
aad,and,0.056515,5,1
wairer,waiter,N/A,N/A,1
Confnrted,Confronted,0.008822,18,3
Fdsddy,Freddy,N/A,N/A,2
droasic,drastic,N/A,N/A,2
hd,had,0.960744,1,1
wantsd,wanted,0.014135,4,1
Theee,These,0.068274,3,1
trasformation,transformation,0.001574,89,1
lenaed,leaned,0.086642,3,1
add,and,0.865468,1,1
hhr,her,0.660992,1,1
officres,officers,0.011301,9,1
ttat,that,0.001853,70,1
commuism,communism,N/A,N/A,1
ilplustrated,illustrated,0.080818,2,1
hae,have,0.468466,1,1
ad,and,0.002769,31,1
expli9to;.y,explicitly,N/A,N/A,5
col,cool,0.003976,40,1
'mm,'em,N/A,N/A,1
Nsw,New,0.096938,1,1
spaeds,spades,N/A,N/A,1
oognaizational,organizational,0.008631,13,2
TTe,The,0.103676,1,1
elemett,element,N/A,N/A,1
wtwh,with,0.152188,1,2
stritly,strictly,N/A,N/A,1
nw,now,0.077210,1,1
princil.e,principle,0.343695,1,2
individj7al,individual,0.041507,5,2
Conesquebbtly,Consequently,0.020419,11,3
sta6e,state,0.002385,29,1
Hghest,Highest,N/A,N/A,1
Elaujne,Elaine,N/A,N/A,2
Audbon,Audubon,N/A,N/A,1
UUopa,Utopia,0.302415,1,2
thwot,that,0.052517,3,2
pessure,pressure,0.015624,10,1
Yok,York,0.213247,2,1
commuer,commuter,0.017095,11,1
Bureu,Bureau,0.076613,1,1
rte,rate,0.375156,1,1
Sities,Sixties,0.043905,3,1
Fortunaely,Fortunately,N/A,N/A,1
d9foicult,difficult,0.014098,14,2
texitle,textile,0.009264,19,1
ggl,girl,0.056632,2,2
lt's,let's,N/A,N/A,1
jst,just,0.144463,1,1
ttgue,tongue,0.848621,1,2
reday,ready,0.007180,20,1
nszms,names,0.002807,51,3
ccordnaited,coordinated,0.034588,5,3
yer,year,N/A,N/A,1
p7nishmert,punishment,0.003357,33,2
euxlson,expulsion,N/A,N/A,4
fro0m,from,N/A,N/A,1
stroe,store,0.003112,48,1
ffrm,form,N/A,N/A,1
t9o,to,0.007047,18,1
ccntrol,control,N/A,N/A,1
publictaion,publication,0.005442,27,1
intial,initial,0.080356,2,1
initia;l,initial,0.097544,2,1
reulting,resulting,0.244999,2,1
drien,driven,0.073180,3,1
disappearanee,disappearance,0.053452,2,1
sveerol,several,0.022307,7,2
Phkadlhpia,Philadelphia,0.003029,34,4
BBni,Bini,N/A,N/A,1
rpp,rap,0.000332,23,1
orignal,original,N/A,N/A,1
contaned,contained,0.696130,1,1
Dvaid,David,N/A,N/A,1
degrd3e,degree,0.003770,49,2
satuartion,saturation,N/A,N/A,1
maangy,many,0.037900,7,2
operayyng,operating,0.050633,3,2
tte,the,0.839538,1,1
ntt,not,0.910202,1,1
te,the,0.024388,3,1
ffm,from,0.105097,4,2
e,be,0.993427,1,1
Inded,Indeed,0.014420,15,1
Juornal,Journal,N/A,N/A,1
brufely-ilulm3d,briefly-illumed,N/A,N/A,4
theer-family,three-family,N/A,N/A,2
bt,but,0.026206,6,1
mdidlec-lass,middle-class,N/A,N/A,2
is,its,0.001032,70,1
srides,strides,N/A,N/A,1
becmoes,becomes,0.008454,22,1
givebn,given,0.052029,3,1
feertohught,forethought,N/A,N/A,3
t,at,0.786079,1,1
eluton,elution,N/A,N/A,1
s,is,0.425278,1,1
al6hough,although,0.588966,1,1
payer,player,0.002959,47,1
beisde,beside,0.023216,5,1
whatslpever,whatsoever,0.005711,21,2
aeemy,army,0.023002,4,2
bben,been,0.904757,1,1
approximzatkon,approximation,0.002720,64,2
hon3st,honest,0.024071,4,1
arse,are,0.996980,1,1
Purcahess,Purchases,N/A,N/A,2
te,the,0.004587,35,1
statuasry,statuary,N/A,N/A,1
tihs,this,0.730869,1,1
groths,growths,N/A,N/A,1
sadafras,sassafras,N/A,N/A,2
T90day,Today,0.001792,50,2
M4diiee,Medicine,0.144738,2,3
ooeisty,obesity,0.007087,18,2
dobutful,doubtful,N/A,N/A,1
baet,beat,0.303811,1,1
hs,his,0.253762,2,1
brokee,broke,0.025348,9,1
wih,with,0.138600,2,1
badcly-needed,badly-needed,N/A,N/A,1
"o,ive",olive,0.040062,6,1
himsff,himself,0.037142,2,2
lyy,lay,0.002673,69,1
wiyh,with,0.023949,7,1
tge,the,0.253856,2,1
d4velpmoents,developments,N/A,N/A,3
comamer,commander,0.000216,56,3
Sh9lom,Sholom,N/A,N/A,1
faxxiliites,facilities,0.052747,2,3
ma45inas,marinas,N/A,N/A,2
aae,are,0.008619,11,1
bysjness,business,0.012279,16,2
businesess,businesses,0.071917,2,1
lie,live,0.002047,32,1
follliwing,following,N/A,N/A,2
delat,dealt,0.985530,1,1
decisn,decision,0.002671,53,2
hihwgay,highway,N/A,N/A,2
cruious,curious,N/A,N/A,1
bbrit9ne,baritone,0.332212,1,2
Shorty,Shortly,0.002937,62,1
s9mewhat,somewhat,0.000920,39,1
bjt,but,0.008690,15,1
wuere,where,0.006488,6,1
frequncy,frequency,0.476413,1,1
sattion,station,0.994849,1,1
secrt,secret,0.004638,13,1
easer,easier,0.047685,3,1
scremed,screamed,N/A,N/A,1
nothung,nothing,0.455239,1,1
mnn,man,0.002807,44,1
WWlosn,Wilson,N/A,N/A,2
reinfordig,reinforcing,N/A,N/A,2
Emped9vkles,Empedocles,N/A,N/A,3
ooy,only,0.010225,10,2
coemdy,comedy,0.013337,7,1
Doegrry,Dogberry,N/A,N/A,3
sikmed,skimmed,N/A,N/A,2
Capta8n,Captain,0.024916,6,1
flor,floor,0.085254,1,1
mzn,man,N/A,N/A,1
sch,such,0.068644,5,1
advoqntate,advantage,0.031375,6,3
saud,said,0.017226,11,1
Acitng,Acting,0.020774,9,1
utetrly,utterly,0.028744,6,1
patienbce,patience,0.057654,4,1
thottle,throttle,0.002882,44,1
ad,and,0.018841,10,1
fruight,fright,0.001223,96,1
btt,bet,0.571033,1,1
ohn,on,0.265379,2,1
ecsape,escape,N/A,N/A,1
mstt,most,0.772847,1,2
slghtly,slightly,0.008537,18,1
outt,out,0.923848,1,1
aobt,about,0.388436,1,2
EEen,Even,0.305065,1,1
foqils,fails,0.153568,1,2
comfottable,comfortable,0.086813,2,1
collsr,collar,0.004692,29,1
ttss,this,0.045437,2,2
lght,light,0.035148,7,1
tee,the,0.491685,1,1
edtfot,effort,0.192474,2,3
t,not,0.573339,1,2
eaosy,easy,0.081744,3,1
ifretify,identify,0.231173,2,3
crrntrues,centuries,0.341597,2,4
pope,people,N/A,N/A,2
tyis,this,0.110080,2,1
whetehr,whether,0.962057,1,1
tyer,their,0.594126,1,2
tjhe,the,0.025588,5,1
bhxh,bush,0.006516,27,2
tjmm,them,0.616008,1,2
disocver,discover,0.008378,7,1
woup.d,would,0.067663,4,2
al,all,0.023549,11,1
for,four,N/A,N/A,1
wilkl,will,N/A,N/A,1
nhyclear,nuclear,0.107520,2,2
s,is,0.082115,1,1
direxcyory,directory,N/A,N/A,2
tyinkng,thinking,0.002436,14,2
aad,and,0.021418,2,1
wrorye,wrote,0.008707,14,2
writs,writes,0.332635,1,1
Presige,Prestige,N/A,N/A,1
Stzztes,States,0.693151,1,2
ooer,over,0.086617,4,1
thwe,the,0.020743,16,1
Englanfd,England,0.034813,3,1
miltiant,militant,N/A,N/A,1
co.t,colt,N/A,N/A,1
timwe,time,0.410808,1,1
ijuries,injuries,0.016621,10,1
woluxd,would,0.381266,1,2
fr,for,0.093321,2,1
vitmins,vitamins,N/A,N/A,1
Geogee,George,0.037421,7,2
offce,office,0.006778,9,1
haerd,heard,0.014510,12,1
Eavh,Each,0.011030,7,1
pefrodmanee,performance,N/A,N/A,3
univrwe,universe,N/A,N/A,2
franirc,frantic,0.023191,5,2
dotpred,doctored,N/A,N/A,2
fer,for,0.001085,68,1
chrity,charity,0.006170,23,1
eysws,eyes,0.114488,2,2
ssay,stay,0.446090,1,1
qalities,qualities,0.134488,1,1
ckurse,course,0.999827,1,1
n,on,0.644791,1,1
readly,readily,N/A,N/A,1
befoee,before,N/A,N/A,1
ot,out,0.048661,4,1
gaeden,garden,0.008063,32,1
LLnus,Linus,N/A,N/A,1
Prie,Prize,0.998886,1,1
ambiuus,ambiguous,0.000948,58,2
teachrs,teachers,N/A,N/A,1
st,sat,N/A,N/A,1
vrey,very,N/A,N/A,1
dwfying,defying,N/A,N/A,1
"horrib;,e",horrible,N/A,N/A,2
des3p,deep,0.380385,1,2
har,hair,0.003254,44,1
devte,devote,0.854885,1,1
mhy,my,0.222322,1,1
keelp,keep,0.978835,1,1
ttay,today,0.570061,1,2
rmm,room,0.301041,2,2
st,set,0.001845,71,1
aad,and,0.115910,2,1
progeam,program,0.003272,34,1
ds9gned,designed,0.034075,5,2
Defkne,Define,0.897454,1,1
Tap4e,Tape,N/A,N/A,1
stusy,study,0.014635,8,1
oo5skirts,outskirts,0.036300,4,2
Preestyy,Presently,N/A,N/A,3
brothrr,brother,N/A,N/A,1
breahtslsy,breathlessly,N/A,N/A,4
wighut,without,0.015161,7,2
Niessr-Oedr,Neisse-Oder,N/A,N/A,3
protseting,protesting,N/A,N/A,1
everthhing,everything,0.120023,2,2
Azussa,Azusa,N/A,N/A,1
untl,until,0.021307,9,1
frinedly,friendly,N/A,N/A,1
appeard,appeared,0.048655,3,1
visal,visual,N/A,N/A,1
experiemee,experience,N/A,N/A,2
spda,soda,0.028876,8,1
peraps,perhaps,0.006763,22,1
universalloy,universally,0.012220,11,1
waevs,waves,0.007630,20,1
agan,again,N/A,N/A,1
bas4ment,basement,N/A,N/A,1
improevd,improved,0.018109,9,1
magazqines,magazines,0.003997,55,1
hss,his,0.234905,2,1
concuding,concluding,0.193915,3,1
Reot,Report,0.026338,7,2
toawrd,toward,0.337400,2,1
scol,school,0.161765,2,2
Agreeoble,Agreeable,N/A,N/A,1
situaion,situation,N/A,N/A,1
cnocerned,concerned,0.725784,1,1
I'e,I've,N/A,N/A,1
tnje,the,0.047871,2,2
hnad,hand,N/A,N/A,1
kepp,keep,0.152188,2,1
machineyy,machinery,N/A,N/A,1
Preds,Press,0.990789,1,1
Berrlelez,Berrellez,N/A,N/A,1
aversien,aversion,N/A,N/A,1
ijn,in,0.279326,1,1
slon,soon,N/A,N/A,1
lfe,life,0.002366,47,1
hdd,had,0.522987,1,1
cefucial,crucial,0.048783,2,2
fors,forces,0.005496,25,2
rspecetively,respectively,0.935776,1,2
o[posite,opposite,0.133370,1,1
liygtle,little,0.015789,9,2
andd,and,0.002694,2,1
Fronedl,Frondel,N/A,N/A,1
Hrary,Harry,0.008049,19,1
Ravne,Ravine,N/A,N/A,1
ats,acts,0.373375,1,1
h7hdnrd,hundred,0.447695,1,4
wy,way,0.052602,5,1
clranly,cleanly,N/A,N/A,1
clanly,cleanly,N/A,N/A,1
hrr,her,0.115731,2,1
pushd,pushed,0.032568,6,1
ginhgam,gingham,N/A,N/A,1
wie,wipe,0.136169,1,1
batteyr-powered,battery-powered,N/A,N/A,1
biul-in,built-in,N/A,N/A,2
metres,meters,0.001077,96,1
tticness,thickness,N/A,N/A,2
sanctkkonious,sanctimonious,N/A,N/A,2
frcd,forced,0.007650,24,2
so23jhg,showing,0.029432,4,5
wih,with,0.004548,26,1
Fs4deral,Federal,0.005104,23,2
depensdence,dependence,0.720555,1,1
detecotr,detector,0.004309,42,1
thse,the,0.383057,1,1
powerfl,powerful,N/A,N/A,1
ad,and,0.042792,2,1
te,the,0.562459,1,1
ww5e,were,0.589076,1,2
cyy,cry,0.105431,1,1
aachronism,anachronism,N/A,N/A,1
rrwginos,regions,N/A,N/A,3
subrbuaa,suburbia,N/A,N/A,3
Previouly,Previously,0.004752,25,1
adimtted,admitted,0.002277,88,1
mut,must,0.719379,1,1
thbr,their,0.054004,3,2
thde,the,0.064522,5,1
thier,their,N/A,N/A,1
aaainst,against,0.028228,4,1
eeght,eight,0.001786,55,1
Jue,June,0.012443,9,1
citis,cities,0.004446,18,1
Evn,Even,0.912688,1,1
mintes,minutes,0.441219,2,1
desegretfation,desegregation,N/A,N/A,2
yr,year,0.425028,1,2
insittutkons,institutions,0.108821,1,2
ibstituinoal,institutional,0.005806,28,3
Tey,They,0.018066,3,1
filed,filled,N/A,N/A,1
wih,with,0.003430,34,1
cutt8ng,cutting,0.007954,16,1
plottd,plotted,0.150042,1,1
orgiin,origin,N/A,N/A,1
nett,next,0.203010,1,1
se,she,N/A,N/A,1
mihgt,might,0.055189,5,1
strughle,struggle,0.309836,1,1
impressun,impression,0.552010,1,2
te,the,0.012457,3,1
liabiltiy,liability,0.030836,4,1
satisfaciton,satisfaction,N/A,N/A,1
wihh,with,0.048738,4,1
fcae,face,0.005090,29,1
wuold,would,0.038001,5,1
Erahrt,Erhart,N/A,N/A,1
"eco,jic",economic,N/A,N/A,3
aacend,ascend,N/A,N/A,1
bcuk,buck,0.001978,53,1
tnan,than,0.990844,1,1
exerise,exercise,0.039976,4,1
benn,been,0.995516,1,1
tht,that,0.952188,1,1
inumane,inhumane,N/A,N/A,1
fzith,faith,0.005324,25,1
iispired,inspired,0.046269,4,1
tee,the,0.804154,1,1
lke,like,0.901054,1,1
Berna5d,Bernard,0.013566,16,1
modst,modest,N/A,N/A,1
lttle,little,N/A,N/A,1
knikc-kmacks,knick-knacks,N/A,N/A,2
aroud,around,0.026177,6,1
sceme,scene,0.129279,1,1
bestwal,bestowal,N/A,N/A,1
enjtire,entire,0.007468,16,1
tee,the,0.022782,8,1
the4e,there,0.026015,6,1
concrts,concerts,0.001581,61,1
memorble,memorable,0.159817,1,1
e,the,0.445482,1,2
p5epared,prepared,0.008016,30,1
eosch,each,0.189260,2,2
brujsued,bruised,0.035921,2,2
aamost,almost,0.026633,7,1
platnainn,plantation,0.001079,88,3
form,from,0.859501,1,1
Christinaity,Christianity,0.128223,2,1
darstic,drastic,0.023633,8,1
e,he,0.008200,4,1
sa9oed,said,0.057648,3,3
prfooeund,profound,0.006816,26,2
ggre,garde,0.973608,1,2
indicagin,indication,N/A,N/A,2
tgyat,that,0.750859,1,2
ccaracteristic,characteristic,N/A,N/A,1
focuss,focuses,0.160206,2,1
ntt,not,0.001702,38,1
tht,that,0.974679,1,1
pt,pot,N/A,N/A,1
psas,pass,0.001879,69,1
tew5s,tests,0.006766,16,2
aloo,also,0.000205,9,1
reduc4e,reduce,0.024942,7,1
iicident,incident,0.023797,3,1
aal,all,0.264493,1,1
performnace,performance,0.027626,3,1
unstlited,unstilted,N/A,N/A,1
ppset,present,0.005217,23,3
aso,also,0.006232,34,1
finaliyy,finality,N/A,N/A,1
aee,are,0.980352,1,1
msut,must,0.044848,6,1
Skyres,Skyros,N/A,N/A,1
cculdn't,couldn't,N/A,N/A,1
Nprdstrmm,Nordstrom,N/A,N/A,2
governmrnt,government,0.143801,1,1
praisred,praised,0.003178,41,1
ins't,isn't,N/A,N/A,1
tte,the,0.090621,1,1
nnsted,nested,N/A,N/A,1
eahh,each,0.467871,1,1
copmay,company,N/A,N/A,2
taht,that,0.002313,77,1
brasy,brassy,N/A,N/A,1
wich,which,0.950934,1,1
form,from,0.573403,1,1
"e,emrwnys",elements,0.282101,1,4
f,of,0.155508,2,1
eldsctrc,electric,0.012760,9,3
barbariazs,barbarians,N/A,N/A,1
oofered,offered,0.007054,24,1
commissioj's,commission's,N/A,N/A,1
perhap-s,perhaps,0.861766,1,1
cergy,clergy,0.033483,7,1
Englad,England,0.916896,1,1
te,the,0.189227,1,1
te,the,0.282635,1,1
o8htput-axis,output-axis,N/A,N/A,2
flatternig,flattering,N/A,N/A,1
ttan,than,0.894105,1,1
ws,was,0.626182,1,1
thee,three,0.001382,86,1
whtt,what,0.843183,1,1
fokr,for,0.720224,1,1
influecning,influencing,N/A,N/A,1
decdues,decides,0.196728,2,2
teth,teeth,N/A,N/A,1
wereyy,whereby,0.296147,2,2
rp,rap,N/A,N/A,1
juyy,jury,N/A,N/A,1
collr,collar,N/A,N/A,1
befoe,before,0.000092,65,1
hhs,his,0.012223,10,1
wwy,way,0.065058,3,1
e,We,N/A,N/A,1
mmnitoned,mentioned,N/A,N/A,2
prize-iwnning,prize-winning,N/A,N/A,1
alkl,all,0.053368,4,1
chram,charm,N/A,N/A,1
hurrued.y,hurriedly,N/A,N/A,2
too,to,0.067374,4,1
sk8de,side,0.071654,1,2
chep,cheap,N/A,N/A,1
Colidge,Coolidge,N/A,N/A,1
raesons,reasons,0.427007,1,1
tdue,true,0.013608,15,1
fzct,fact,0.933735,1,1
buildinss,buildings,N/A,N/A,1
cuedd,cursed,0.002198,69,3
tnreatened,threatened,0.005745,37,1
misisons,missions,0.047191,6,1
totaply,totally,0.004534,42,1
icapable,incapable,0.683165,1,1
ddmythologization,demythologization,N/A,N/A,1
ceary,clearly,0.018440,15,2
llast,least,0.999569,1,1
wyen,when,0.496121,1,1
ad,and,0.324077,1,1
tee,the,0.179395,3,1
m9krphophipnes,morphophonemics,N/A,N/A,7
tie,time,0.007084,16,1
wwat,what,0.996350,1,1
celud,could,0.051124,4,2
migt,might,0.048461,4,1
scitaiaa,sciatica,N/A,N/A,2
ad,and,0.463983,1,1
coupppes,couples,0.035298,8,2
m9croscopic,microscopic,0.112629,3,1
sqmple,sample,N/A,N/A,1
isotropcc,isotropic,N/A,N/A,1
thtt,that,0.162326,3,1
dsastr9us,disastrous,0.016790,11,2
bbxk,back,N/A,N/A,2
widnow,window,0.083687,2,1
drooped,dropped,0.236111,1,1
sardic,sardonic,N/A,N/A,2
Grekk,Greek,N/A,N/A,1
